length freq age1 age2 age3 age4 age5          
 19.75    4 0 0  0 0 0
 21.75   10 0 0  0 0 0
 23.75   21 0 0  0 0 0
 25.75   11 9 2  0 0 0
 27.75   14 8 6  0 0 0
 29.75   31 0 0  0 0 0
 31.75   39 0 0  0 0 0
 33.75   70 0 0  0 0 0
 35.75   71 0 0  0 0 0
 37.75   44 0 0  0 0 0
 39.75   42 0 0  0 0 0
 41.75   36 0 2 34 0 0
 43.75   23 0 0 21 0 0
 45.75   22 0 0  0 0 0
 47.75   17 0 0  5 5 0
 49.75   12 0 0  6 5 1
 51.75   12 0 0  5 7 0
 53.75   11 0 0  4 4 3
 55.75    8 0 0  0 8 0
 57.75    3 0 0  0 2 1
 59.75    6 0 0  0 1 5
 61.75    6 0 0  0 2 4
 63.75    3 0 0  0 0 0
 65.75    2 0 0  0 0 0
   Inf    5 0 0  0 0 0
